block_id,cauchy_stress_xx,elastic_strain_xx,id,mechanical_strain_xx,orientation_q1,orientation_q2,orientation_q3,orientation_q4,strain_xx,volume,x,y,z
1,358.63064311482,0.0019324767722195,0,0.0061177375036235,0.58153424099995,-0.19290914208548,0.77059401393857,-0.17546724068966,0.0061177375036235,25901.341062008,7.5198322534561,348.40279006958,50.057807922363
1,353.30561969204,0.0019053219383712,1,0.0060485126407585,0.5814853229827,-0.19296209073911,0.77058625441345,-0.17560499903777,0.0060485126407585,25579.680171778,7.5509662628174,365.73375701904,49.965023994446
1,325.14932243961,0.0018181775906854,2,0.0060391935341272,0.58104916473703,-0.19307777317398,0.77087450012433,-0.17565687679429,0.0060391935341272,24432.633522855,7.3262104988098,348.99306869507,150.04556655884
1,328.78129970434,0.0018466875709899,3,0.0062978465883616,0.58090342284162,-0.19315434310865,0.77093397478386,-0.17579366293015,0.0062978465883616,23681.025992057,7.2767804861069,365.68414306641,149.83968257904
1,303.72113067155,0.001691376219102,4,0.0054825646513979,0.58095916162919,-0.19336621188472,0.77075439878808,-0.17616353647846,0.0054825646513979,26016.541959728,7.5211095809937,348.55530548096,249.98775863647
1,312.11268296223,0.0018071553363277,5,0.0061941824244963,0.58084234515757,-0.19335081456608,0.77081846635934,-0.17628528168588,0.0061941824244963,25803.449887257,7.4629386663437,366.09424972534,249.87465858459
1,351.07577575954,0.0019659389764723,6,0.006634291999604,0.58170465526674,-0.19288875961015,0.77049378519575,-0.17536495512826,0.006634291999604,45207.475175726,25.287729382515,347.23503494263,49.944458961487
1,334.60390115269,0.0018729719999024,7,0.0061097783816479,0.58122650957456,-0.19289354029832,0.77080203664826,-0.17559051885376,0.0061097783816479,49120.380911777,24.999482393265,346.94626617432,150.01254367828
1,367.65083907389,0.0019609855522068,8,0.0062650204341131,0.58158906965044,-0.19283371708382,0.77065150700376,-0.1751156674947,0.0062650204341131,36075.159458256,9.2042773962021,331.54090499878,49.984210968018
1,325.33018172321,0.0017770849379592,9,0.0056799766630565,0.58115034875233,-0.19297047940796,0.77090508773239,-0.17530544018377,0.0056799766630565,37634.726984609,8.9767124652863,331.57939910889,150.07960128784
1,290.20271283476,0.0015803036466403,10,0.0049545927735476,0.58110742195926,-0.19327599942164,0.7707464737173,-0.17580788059773,0.0049545927735476,36227.136290661,9.2164885997772,331.60397720337,250.09539031982
1,299.71432102749,0.0017497014626342,11,0.0057029153478807,0.58108609347948,-0.19292576943227,0.77074438881984,-0.176271382543,0.0057029153478807,45328.576299081,25.29393029213,347.27847290039,250.0680847168
1,337.02470307484,0.0019334452649073,12,0.0065447692550218,0.58154273325667,-0.19310769654373,0.77052892814257,-0.17550628944797,0.0065447692550218,45274.885638787,25.306515932083,366.38980102539,49.803131103516
